angle,t_count_x,t_count_2x,len_x,len_2x
3.2242210143226058,52,62,75,101
3.2295041996297855,52,58,86,88
3.2347873849369653,46,60,61,89
3.2400705702441446,50,62,76,99
3.2453537555513243,46,60,79,99
3.2506369408585041,52,62,82,102
3.2559201261656834,50,62,83,96
3.2612033114728631,50,60,75,87
3.2664864967800424,50,62,74,97
3.2717696820872222,52,60,84,88
3.2770528673944019,52,60,80,92
3.2823360527015812,50,60,77,95
3.287619238008761,50,60,72,92
3.2929024233159407,46,62,73,94
3.29818560862312,50,56,76,85
3.3034687939302998,48,62,72,101
3.3087519792374795,50,60,81,99
3.3140351645446589,50,60,79,90
3.3193183498518386,50,60,81,90
3.3246015351590179,46,60,74,90
3.3298847204661977,50,60,78,96
3.3351679057733774,50,62,77,97
3.3404510910805567,50,60,77,91
3.3457342763877365,54,58,84,84
3.3510174616949162,52,60,82,90
3.3563006470020955,52,62,77,92
3.3615838323092753,52,62,81,101
3.366867017616455,44,60,66,92
3.3721502029236343,46,58,67,89
3.3774333882308141,50,60,78,96
3.3827165735379934,48,62,73,100
3.3879997588451731,50,60,78,97
3.3932829441523529,48,60,75,95
3.3985661294595322,50,62,85,100
3.4038493147667119,48,62,77,90
3.4091325000738917,50,62,64,92
3.414415685381071,50,60,72,90
3.4196988706882507,48,56,71,89
3.42498205599543,50,62,78,93
3.4302652413026098,50,56,79,86
3.4355484266097895,50,62,73,93
3.4408316119169688,48,62,79,90
3.4461147972241486,48,52,75,86
3.4513979825313283,52,60,79,84
3.4566811678385077,46,60,72,86
3.4619643531456874,46,62,69,95
3.4672475384528672,48,64,69,105
3.4725307237600465,52,60,73,82
3.4778139090672262,50,60,76,99
3.4830970943744055,50,62,75,95
3.4883802796815853,50,62,73,95
3.493663464988765,52,62,74,88
3.4989466502959443,44,56,74,88
3.5042298356031241,52,60,76,95
3.5095130209103038,52,60,78,95
3.5147962062174831,50,64,77,98
3.5200793915246629,46,56,70,84
3.5253625768318422,48,60,72,84
3.5306457621390219,52,60,80,84
3.5359289474462017,50,58,77,87
3.541212132753381,48,58,74,88
3.5464953180605607,50,58,80,88
3.5517785033677405,52,58,75,89
3.5570616886749198,50,60,70,92
3.5623448739820995,52,60,75,98
3.5676280592892793,48,60,81,90
3.5729112445964586,50,60,75,90
3.5781944299036383,50,54,78,84
3.5834776152108176,54,62,86,92
3.5887608005179974,48,62,74,92
3.5940439858251771,52,60,84,88
3.5993271711323565,50,60,74,92
3.6046103564395362,50,60,76,86
3.609893541746716,50,62,72,98
3.6151767270538953,48,62,77,98
3.620459912361075,48,64,76,100
3.6257430976682548,50,62,80,93
3.6310262829754341,48,62,74,93
3.6363094682826138,50,60,79,93
3.6415926535897931,50,48,73,78
3.6468758388969729,46,46,69,69
3.6521590242041526,50,46,74,69
3.6574422095113319,48,50,71,77
3.6627253948185117,48,50,74,77
3.6680085801256914,48,48,76,71
3.6732917654328707,50,48,72,71
3.6785749507400505,50,50,77,77
3.6838581360472298,50,50,68,77
3.6891413213544095,54,48,79,77
3.6944245066615893,46,48,78,77
3.6997076919687686,52,50,70,73
3.7049908772759483,50,50,71,73
3.7102740625831281,50,48,76,71
3.7155572478903074,50,48,76,71
3.7208404331974871,52,52,84,81
3.7261236185046669,46,52,70,81
3.7314068038118462,48,50,71,78
3.7366899891190259,48,42,75,62
3.7419731744262053,50,42,78,62
3.747256359733385,48,42,75,62
3.7525395450405648,50,46,77,72
3.7578227303477441,48,48,71,72
3.7631059156549238,52,48,76,72
3.7683891009621036,50,48,74,72
3.7736722862692829,48,50,71,77
3.7789554715764626,48,50,72,84
3.7842386568836419,52,50,75,84
3.7895218421908217,48,50,72,84
3.7948050274980014,50,48,76,75
3.8000882128051807,48,50,77,73
3.8053713981123605,46,50,75,73
3.8106545834195402,46,50,71,73
3.8159377687267195,52,52,76,83
3.8212209540338993,48,46,72,69
3.826504139341079,46,46,70,69
3.8317873246482583,48,44,75,70
3.8370705099554381,48,44,77,70
3.8423536952626174,50,48,74,73
3.8476368805697971,50,48,75,73
3.8529200658769769,50,48,75,78
3.8582032511841562,50,48,83,78
3.8634864364913359,50,46,75,74
